Date, Open_FBMKLCI, High_FBMKLCI, Low_FBMKLCI, Close_FBMKLCI
08/23/21,1522.43,1522.43,1522.43,1522.43
08/20/21,1518.03,1518.03,1518.03,1518.03
08/19/21,1514.95,1514.95,1514.95,1514.95
08/18/21,1525.24,1525.24,1525.24,1525.24
08/17/21,1523.59,1523.59,1523.59,1523.59
08/16/21,1502.9,1502.9,1502.9,1502.9
08/13/21,1505.11,1505.11,1505.11,1505.11
8/12/2021,1501.97,1501.97,1501.97,1501.97
8/11/2021,1504.44,1504.44,1504.44,1504.44
8/9/2021,1496.73,1496.73,1496.73,1496.73
8/6/2021,1489.8,1489.8,1489.8,1489.8
8/5/2021,1495.78,1495.78,1495.78,1495.78
8/4/2021,1491.33,1491.33,1491.33,1491.33
8/3/2021,1500.26,1500.26,1500.26,1500.26
8/2/2021,1493,1493,1493,1493
07/30/21,1494.6,1494.6,1494.6,1494.6
07/29/21,1512.93,1512.93,1512.93,1512.93
07/28/21,1515.39,1515.39,1515.39,1515.39
07/27/21,1514.6,1514.6,1514.6,1514.6
07/26/21,1512.53,1512.53,1512.53,1512.53
07/23/21,1523.44,1523.44,1523.44,1523.44
07/22/21,1527.62,1527.62,1527.62,1527.62
07/21/21,1516.52,1516.52,1516.52,1516.52
07/19/21,1519.97,1519.97,1519.97,1519.97
07/16/21,1522.48,1522.48,1522.48,1522.48
07/15/21,1520.82,1520.82,1520.82,1520.82
07/14/21,1512.32,1512.32,1512.32,1512.32
07/13/21,1519.56,1519.56,1519.56,1519.56
7/12/2021,1512.89,1512.89,1512.89,1512.89
7/9/2021,1520.58,1520.58,1520.58,1520.58
7/8/2021,1508.71,1508.71,1508.71,1508.71
7/7/2021,1530.15,1530.15,1530.15,1530.15
7/6/2021,1531.63,1531.63,1531.63,1531.63
7/5/2021,1532.36,1532.36,1532.36,1532.36
7/2/2021,1533.35,1533.35,1533.35,1533.35
7/1/2021,1534.23,1534.23,1534.23,1534.23
06/30/21,1532.63,1532.63,1532.63,1532.63
06/29/21,1548.31,1548.31,1548.31,1548.31
06/28/21,1544.71,1544.71,1544.71,1544.71
06/25/21,1559.68,1559.68,1559.68,1559.68
06/24/21,1555.71,1555.71,1555.71,1555.71
06/23/21,1564.76,1564.76,1564.76,1564.76
06/22/21,1574.02,1574.02,1574.02,1574.02
06/21/21,1572.24,1572.24,1572.24,1572.24
06/18/21,1589.05,1589.05,1589.05,1589.05
06/17/21,1570.86,1570.86,1570.86,1570.86
06/16/21,1578.32,1578.32,1578.32,1578.32
06/15/21,1581.37,1581.37,1581.37,1581.37
06/14/21,1582.46,1582.46,1582.46,1582.46
6/11/2021,1575.16,1575.16,1575.16,1575.16
6/10/2021,1579.9,1579.9,1579.9,1579.9
6/9/2021,1581.48,1581.48,1581.48,1581.48
6/8/2021,1587.96,1587.96,1587.96,1587.96
6/4/2021,1578.45,1578.45,1578.45,1578.45
6/3/2021,1590.57,1590.57,1590.57,1590.57
6/2/2021,1597.94,1597.94,1597.94,1597.94
6/1/2021,1585.9,1585.9,1585.9,1585.9
05/31/21,1583.55,1583.55,1583.55,1583.55
05/28/21,1594.44,1594.44,1594.44,1594.44
05/27/21,1593.9,1593.9,1593.9,1593.9
05/25/21,1577.82,1577.82,1577.82,1577.82
05/24/21,1571.82,1571.82,1571.82,1571.82
05/21/21,1562.17,1562.17,1562.17,1562.17
05/20/21,1575.32,1575.32,1575.32,1575.32
05/19/21,1580.52,1580.52,1580.52,1580.52
05/18/21,1591.32,1591.32,1591.32,1591.32
05/17/21,1583.46,1583.46,1583.46,1583.46
5/12/2021,1582.52,1582.52,1582.52,1582.52
5/11/2021,1577.64,1577.64,1577.64,1577.64
5/10/2021,1583.92,1583.92,1583.92,1583.92
5/7/2021,1587.45,1587.45,1587.45,1587.45
5/6/2021,1578.33,1578.33,1578.33,1578.33
5/5/2021,1575.67,1575.67,1575.67,1575.67
5/4/2021,1588.25,1588.25,1588.25,1588.25
5/3/2021,1590.73,1590.73,1590.73,1590.73
04/30/21,1601.65,1601.65,1601.65,1601.65
04/28/21,1608.5,1608.5,1608.5,1608.5
04/27/21,1606.68,1606.68,1606.68,1606.68
04/26/21,1623.47,1623.47,1623.47,1623.47
04/23/21,1608.43,1608.43,1608.43,1608.43
04/22/21,1607.73,1607.73,1607.73,1607.73
04/21/21,1596.58,1596.58,1596.58,1596.58
04/20/21,1607.57,1607.57,1607.57,1607.57
04/19/21,1600.29,1600.29,1600.29,1600.29
04/16/21,1608.38,1608.38,1608.38,1608.38
04/15/21,1608.25,1608.25,1608.25,1608.25
04/14/21,1598.28,1598.28,1598.28,1598.28
04/13/21,1597.71,1597.71,1597.71,1597.71
4/12/2021,1608.42,1608.42,1608.42,1608.42
4/9/2021,1612.25,1612.25,1612.25,1612.25
4/8/2021,1602.4,1602.4,1602.4,1602.4
4/7/2021,1600.59,1600.59,1600.59,1600.59
4/6/2021,1578.91,1578.91,1578.91,1578.91
4/5/2021,1584.24,1584.24,1584.24,1584.24
4/2/2021,1585.35,1585.35,1585.35,1585.35
4/1/2021,1582.64,1582.64,1582.64,1582.64
03/31/21,1573.51,1573.51,1573.51,1573.51
03/30/21,1609.19,1609.19,1609.19,1609.19
03/29/21,1611.28,1611.28,1611.28,1611.28
03/26/21,1601.42,1601.42,1601.42,1601.42
03/25/21,1597.73,1597.73,1597.73,1597.73
03/24/21,1602.4,1602.4,1602.4,1602.4
03/23/21,1595.29,1595.29,1595.29,1595.29
